name,score,description
Strontium chloride hexahydrate,-5,Substanta RESTRICTIOANATA in UE (Anexa III)
Strontium acetate hemihydrate,-5,Substanta RESTRICTIOANATA in UE (Anexa III)
Talc: Hydrated magnesium silicate,-5,Substanta RESTRICTIOANATA in UE (Anexa III)
Fatty acid dialkylamides and dialkanolamides,-5,Substanta RESTRICTIOANATA in UE (Anexa III)
"Monoalkylamines, monoalkanolamines and their salts",-5,Substanta RESTRICTIOANATA in UE (Anexa III)
"Trialkylamines, trialkanolamines and their salts",-5,Substanta RESTRICTIOANATA in UE (Anexa III)
Strontium hydroxide,-5,Substanta RESTRICTIOANATA in UE (Anexa III)
Strontium peroxide,-5,Substanta RESTRICTIOANATA in UE (Anexa III)
"Benzalkonium chloride, bromide and saccharinate (9)",-5,Substanta RESTRICTIOANATA in UE (Anexa III)
Polyacrylamides,-5,Substanta RESTRICTIOANATA in UE (Anexa III)
2-Benzylideneheptanal,-5,Substanta RESTRICTIOANATA in UE (Anexa III)
Cinnamyl alcohol,-5,Substanta RESTRICTIOANATA in UE (Anexa III)
"3,7-Dimethyl-2,6-octadienal; (E)-3,7-dimethylocta-2,6-dienal; (Z)-3,7-dimethylocta-2,6-dienal",-5,Substanta RESTRICTIOANATA in UE (Anexa III)
"Phenol, 2-methoxy-4-(2-propenyl)-",-5,Substanta RESTRICTIOANATA in UE (Anexa III)
Hydroxycitronellal,-5,Substanta RESTRICTIOANATA in UE (Anexa III)
"Phenol, 2-methoxy-4-(1-propenyl);
(E)-2-methoxy-4-(prop-1-enyl)phenol;(trans-Isoeugenol); 
(Z)-2-methoxy-4-(prop-1-enyl)phenol;(cis-Isoeugenol)",-5,Substanta RESTRICTIOANATA in UE (Anexa III)
2-Pentyl-3-phenylprop-2-en-1-ol,-5,Substanta RESTRICTIOANATA in UE (Anexa III)
Benzyl salicylate,-5,Substanta RESTRICTIOANATA in UE (Anexa III)
"2-Propenal, 3-phenyl-",-5,Substanta RESTRICTIOANATA in UE (Anexa III)
2H-1-Benzopyran-2-one,-5,Substanta RESTRICTIOANATA in UE (Anexa III)
"2,6-Octadien-1-ol, 3,7-dimethyl-, (2E)-",-5,Substanta RESTRICTIOANATA in UE (Anexa III)
4-Methoxybenzyl alcohol,-5,Substanta RESTRICTIOANATA in UE (Anexa III)
"2-Propenoic acid, 3-phenyl-, phenylmethyl ester",-5,Substanta RESTRICTIOANATA in UE (Anexa III)
"2,6,10-Dodecatrien-1-ol, 3,7,11-trimethyl-",-5,Substanta RESTRICTIOANATA in UE (Anexa III)
"1,6-Octadien-3-ol, 3,7-dimethyl-",-5,Substanta RESTRICTIOANATA in UE (Anexa III)
Benzyl benzoate,-5,Substanta RESTRICTIOANATA in UE (Anexa III)
"Citronellol/ (±) 3,7-Dimethyl-6-octen-1-ol;
(3R)-3,7-dimethyloct-6-en-1-ol;
(3S)-3,7-dimethyloct-6-en-1-ol;",-5,Substanta RESTRICTIOANATA in UE (Anexa III)
2-Benzylideneoctanal,-5,Substanta RESTRICTIOANATA in UE (Anexa III)
"1-methyl-4-prop- 1-en-2-yl- cyclohexene; dl-limonene (racemic); Dipentene
(R)-p- mentha-1,8-diene; (d-limonene);
(S)-p- mentha-1,8-diene; (l-limonene);",-5,Substanta RESTRICTIOANATA in UE (Anexa III)
Methyl 2-Octynoate,-5,Substanta RESTRICTIOANATA in UE (Anexa III)
"3-Methyl-4-(2,6,6-trimethyl-2-cyclohexen-1-yl)-3-buten-2-one",-5,Substanta RESTRICTIOANATA in UE (Anexa III)
Oak moss extract,-5,Substanta RESTRICTIOANATA in UE (Anexa III)
Treemoss extract,-5,Substanta RESTRICTIOANATA in UE (Anexa III)
"2,4-Pyrimidinediamine, 3-oxide",-5,Substanta RESTRICTIOANATA in UE (Anexa III)
Dibenzoyl peroxide,-5,Substanta RESTRICTIOANATA in UE (Anexa III)
Hydroquinone methylether / Mequinol,-5,Substanta RESTRICTIOANATA in UE (Anexa III)
"5-tert-Butyl-2,4,6-trinitro-m-xylene",-5,Substanta RESTRICTIOANATA in UE (Anexa III)
"4'-tert-Butyl-2',6'-dimethyl-3',5'-dinitroacetophenone",-5,Substanta RESTRICTIOANATA in UE (Anexa III)
"Benzoic acid, 2-hydroxy-",-5,Substanta RESTRICTIOANATA in UE (Anexa III)
Inorganic sulfites and bisulfites (12),-5,Substanta RESTRICTIOANATA in UE (Anexa III)
