id,inci_name,score,description,Restriction,Function
17739,OCTACOSANYL GLYCOL ISOSTEARATE,10,Safe ingredient (No EU restrictions),,SKIN CONDITIONING - EMOLLIENT
17740,OCTACOSATRIMONIUM CHLORIDE,10,Safe ingredient (No EU restrictions),,"ANTISTATIC, HAIR CONDITIONING"
17741,OCTADECANE,10,Safe ingredient (No EU restrictions),,"PERFUMING, SKIN CONDITIONING, SKIN CONDITIONING - EMOLLIENT, SOLVENT"
17742,OCTADECENE,10,Safe ingredient (No EU restrictions),,"SOLVENT, VISCOSITY CONTROLLING"
17743,OCTADECENE/MA COPOLYMER,10,Safe ingredient (No EU restrictions),,"LIGHT STABILIZER, VISCOSITY CONTROLLING"
17744,OCTADECENE/MA COPOLYMER ESTERS,10,Safe ingredient (No EU restrictions),,FILM FORMING
17745,OCTADECENE/MA COPOLYMER OCTADODECYL/BETA-SITOSTERYL ESTERS,10,Safe ingredient (No EU restrictions),,FILM FORMING
17746,OCTADECENEDIOIC ACID,10,Safe ingredient (No EU restrictions),,SURFACTANT - EMULSIFYING
17747,OCTADECENYL-AMMONIUM FLUORIDE,-5,RESTRICTED in EU (Annex III),III/39,"ANTIPLAQUE, ORAL CARE"
17748,OCTADECYL DI-T-BUTYL-4-HYDROXYHYDROCINNAMATE,10,Safe ingredient (No EU restrictions),,ANTIOXIDANT
17749,OCTAFLUOROPENTYL METHACRYLATE,10,Safe ingredient (No EU restrictions),,BINDING
17750,"OCTAHYDRO-2,5,5-TRIMETHYL-2-NAPHTHOL",10,Safe ingredient (No EU restrictions),,PERFUMING
17751,"OCTAHYDRO-3,8-DIMETHYLAZULEN-5-YLPROPAN-2-OL",10,Safe ingredient (No EU restrictions),,PERFUMING
17752,"OCTAHYDRO-5,5-DIMETHYLNAPHTHALENE-2-CARBALDEHYDE",10,Safe ingredient (No EU restrictions),,PERFUMING
17753,"OCTAHYDRO-8,8-DIMETHYL-2-NAPHTHALDEHYDE",10,Safe ingredient (No EU restrictions),,PERFUMING
17754,"OCTAHYDRO-8,8-DIMETHYLNAPHTHALENE-2-CARBONITRILE",10,Safe ingredient (No EU restrictions),,PERFUMING
17755,OCTAHYDRO-DIMETHYL-4ALPHA-NAPHTHOL,10,Safe ingredient (No EU restrictions),,PERFUMING
17756,OCTAHYDRO-DIMETHYL-METHYLVINYL-NAPHTHALENE,10,Safe ingredient (No EU restrictions),,PERFUMING
17757,OCTAHYDRO-HEXAMETHYL-NAPHTHOXIRENE,10,Safe ingredient (No EU restrictions),,PERFUMING
17758,OCTAHYDRO-METHOXY-TETRAMETHYL-METHANOAZULENE,10,Safe ingredient (No EU restrictions),,PERFUMING
17759,OCTAHYDRO-METHYL-METHANONAPHTHALENONE,10,Safe ingredient (No EU restrictions),,PERFUMING
17760,OCTAHYDRO-PENTAMETHYL-INDENE,10,Safe ingredient (No EU restrictions),,PERFUMING
17761,OCTAHYDRO-TETRAMETHYL-1-NAPHTHALENOL,10,Safe ingredient (No EU restrictions),,PERFUMING
17762,OCTAHYDRO-TETRAMETHYL-METHANO-1-NAPHTHOL,10,Safe ingredient (No EU restrictions),,PERFUMING
17763,OCTAHYDRO-TETRAMETHYL-METHANO-CYCLOPENTACYCLOPROPABENZENE-4-METHANOL,10,Safe ingredient (No EU restrictions),,PERFUMING
17764,OCTAHYDRO-TETRAMETHYL-METHANO-CYCLOPENTACYCLOPROPABENZENE-4-METHANOL ACETATE,10,Safe ingredient (No EU restrictions),,PERFUMING
17765,OCTAHYDRO-TETRAMETHYL-METHANO-CYCLOPENTACYCLOPROPABENZENE-4-METHANOL FORMATE,10,Safe ingredient (No EU restrictions),,PERFUMING
17766,OCTAHYDRO-TETRAMETHYL-METHANOAZULENE,10,Safe ingredient (No EU restrictions),,PERFUMING
17767,OCTAHYDRO-TETRAMETHYL-METHANOAZULENONE,10,Safe ingredient (No EU restrictions),,PERFUMING
17768,OCTAHYDRO-TETRAMETHYLCYCLOPROPANAPHTHALENONE,10,Safe ingredient (No EU restrictions),,PERFUMING
17769,OCTAHYDRO-TETRAMETHYLCYCLOPROPAZULENE,10,Safe ingredient (No EU restrictions),,PERFUMING
17770,OCTAHYDRO-TRIMETHYL-ETHANO-NAPHTHOXIRENE,10,Safe ingredient (No EU restrictions),,PERFUMING
17771,OCTAHYDRO-TRIMETHYL-NAPHTHOXIREN-7-OL,10,Safe ingredient (No EU restrictions),,PERFUMING
17772,"OCTAHYDRO-TRIMETHYLSPIRO-METHANOAZULENE-6,2'-OXIRANE",10,Safe ingredient (No EU restrictions),,PERFUMING
17773,OCTAHYDROCOUMARIN,10,Safe ingredient (No EU restrictions),,PERFUMING
17774,"OCTAHYDRODIMETHYL-2,5-METHANO-INDENOOXIRENE",10,Safe ingredient (No EU restrictions),,PERFUMING
17775,OCTAHYDROSPIRO-DIOXOLANEMETHANOINDENE,10,Safe ingredient (No EU restrictions),,PERFUMING
17776,OCTANAL,10,Safe ingredient (No EU restrictions),,PERFUMING
17777,OCTANAL DIMETHYL ACETAL,10,Safe ingredient (No EU restrictions),,PERFUMING
17778,OCTANAL ETHYLENEGLYCOL CYCLIC ACETAL,10,Safe ingredient (No EU restrictions),,PERFUMING
17779,OCTANAL/METHYL ANTHRANILATE SCHIFF BASE,10,Safe ingredient (No EU restrictions),,PERFUMING
17780,OCTANE,10,Safe ingredient (No EU restrictions),,SOLVENT
17781,OCTANEDIOL,10,Safe ingredient (No EU restrictions),,PLASTICISER
17782,OCTANICOTINOYL EPIGALLOCATECHIN GALLATE,10,Safe ingredient (No EU restrictions),,ANTIOXIDANT
17783,OCTAPEPTIDE-1,10,Safe ingredient (No EU restrictions),,SKIN CONDITIONING
17784,OCTAPEPTIDE-10,10,Safe ingredient (No EU restrictions),,SKIN PROTECTING
17785,OCTAPEPTIDE-11,10,Safe ingredient (No EU restrictions),,SKIN CONDITIONING
17786,OCTAPEPTIDE-12,10,Safe ingredient (No EU restrictions),,SKIN CONDITIONING
17787,OCTAPEPTIDE-12 SH-POLYPEPTIDE-56 TRIPEPTIDE-44 SH-POLYPEPTIDE-1,10,Safe ingredient (No EU restrictions),,"SKIN CONDITIONING, SKIN PROTECTING"
17788,OCTAPEPTIDE-12 SH-POLYPEPTIDE-56 TRIPEPTIDE-44 SH-POLYPEPTIDE-3,10,Safe ingredient (No EU restrictions),,"SKIN CONDITIONING, SKIN PROTECTING"
17789,OCTAPEPTIDE-13,10,Safe ingredient (No EU restrictions),,SKIN CONDITIONING
17790,OCTAPEPTIDE-14,10,Safe ingredient (No EU restrictions),,SKIN CONDITIONING
