id,inci_name,score,description,Restriction,Function
1,DISODIUM TETRAMETHYLHEXADECENYLCYSTEINE FORMYLPROLINATE,10,Safe ingredient (No EU restrictions),,SKIN PROTECTING
2,(ANGELICA ACUTILOBA/PAEONIA LACTIFLORA) ROOT/CNIDIUM OFFICINALE RHIZOME EXTRACT,10,Safe ingredient (No EU restrictions),,SKIN CONDITIONING - EMOLLIENT
3,(ARCTIUM LAPPA/RAPHANUS SATIVUS/MALVA VERTICILLATA) SEED OIL,10,Safe ingredient (No EU restrictions),,SKIN CONDITIONING - EMOLLIENT
4,(LIQUIDAMBAR STYRACIFLUA/TRIBULUS TERRESTRIS) FRUIT/PAEONIA LACTIFLORA ROOT EXTRACT,10,Safe ingredient (No EU restrictions),,SKIN CONDITIONING
5,ACRYLATES/VA/VINYL NEODECANOATE COPOLYMER,10,Safe ingredient (No EU restrictions),,PLASTICISER
6,ASTROCARYUM VULGARE SEED BUTTER,10,Safe ingredient (No EU restrictions),,"SKIN CONDITIONING, SKIN CONDITIONING - EMOLLIENT"
7,BARLEY SH-POLYPEPTIDE-17,10,Safe ingredient (No EU restrictions),,"HAIR CONDITIONING, SKIN CONDITIONING"
8,CITRULLUS LANATUS SEED POWDER,10,Safe ingredient (No EU restrictions),,"ABRASIVE, EXFOLIATING"
9,DAUCUS CAROTA SATIVA LEAF EXTRACT,10,Safe ingredient (No EU restrictions),,SKIN CONDITIONING - MISCELLANEOUS
10,GOSSYPIUM HIRSUTUM SEED EXTRACT,10,Safe ingredient (No EU restrictions),,SKIN CONDITIONING
11,HYDROLYZED (CITRUS AURANTIUM AMARA /FORSYTHIA VIRIDISSIMA/GARDENIA FLORIDA) FRUIT/MENTHA ARVENSIS LEAF/(ANGELICA ACUTILOBA/COPTIS JAPONICA/GLYCYRRHIZA GLABRA /PAEONIA LACTIFLORA/PLATYCODON GRANDIFLORUS/REHMANNIA GLUTINOSA/SCUTELLARIA BAICALENSIS ROOT) EXTRACT,10,Safe ingredient (No EU restrictions),,SKIN CONDITIONING
12,HYDROLYZED BEE LARVA EXTRACT,10,Safe ingredient (No EU restrictions),,SKIN CONDITIONING - EMOLLIENT
13,HYDROLYZED FORSYTHIA VIRIDISSIMA FRUIT/(CIMICIFUGA DAHURICA/GLYCYRRHIZA GLABRA /PAEONIA LACTIFLORA/PLATYCODON GRANDIFLORUS/PUERARIA LOBATA) ROOT EXTRACT,10,Safe ingredient (No EU restrictions),,SKIN PROTECTING
14,ICTASOL,10,Safe ingredient (No EU restrictions),,"ANTI-SEBORRHEIC, ANTIMICROBIAL"
15,ISOOCTANOYL TETRAPEPTIDE-25,10,Safe ingredient (No EU restrictions),,SKIN CONDITIONING
16,LACTOBACILLUS/GERMINATED SOYBEAN FERMENT FILTRATE,10,Safe ingredient (No EU restrictions),,
17,METHOXYETHANOL,-10,PROHIBITED in EU (Annex II),"II/665

CMR1b (Reprotoxic 1B)","SOLVENT, VISCOSITY CONTROLLING"
18,MYRISTOYL GLYCINE/HISTIDINE/LYSINE POLYPEPTIDE,10,Safe ingredient (No EU restrictions),,SKIN CONDITIONING - MISCELLANEOUS
19,NONAPEPTIDE-11,10,Safe ingredient (No EU restrictions),,"ANTI-SEBUM, SKIN PROTECTING"
20,PENTACLETHRA MACROPHYLLA SEED OIL,10,Safe ingredient (No EU restrictions),,"SKIN CONDITIONING, SKIN CONDITIONING - EMOLLIENT"
21,TRISODIUM TETRAMETHYLHEXADECENYLCYSTEINE BIS-CARBOXYMETHYL FORMYLAMINE,10,Safe ingredient (No EU restrictions),,SKIN PROTECTING
22,(20S)-PROTOPANAXADIOL,10,Safe ingredient (No EU restrictions),,"SKIN CONDITIONING, SKIN CONDITIONING - EMOLLIENT, SKIN PROTECTING"
23,(ADONIS AMURENSIS/AKEBIA QUINATA/ALBIZIA JULIBRISSIN/ALTHAEA ROSEA/ANGELICA ACUTILOBA/ANGELICA ANOMALA/AQUILEGIA BUERGERIANA/ARTEMISIA PRINCEPS/ASTER CILIOSUS/ASTER SCABER/BRASSICA CAMPESTRIS/BROUSSONETIA KAZINOKI/CALLISTEPHUS CHINENSIS/CAMELLIA JAPONICA/CAMELLIA SINENSIS/CAMPSIS GRANDIFLORA/CARAGANA SINICA/CARTHAMUSTINCTORIUS/CASSIA OBTUSIFOLIA/CELOSIA CRISTATA/CERCIS CHINENSIS/CHAENOMELES SINENSIS/CHRYSANTHEMUM INDICUM/CHRYSANTHEMUM ZAWADSKII/CLEMATIS TERNIFLORA/COMMELINA COMMUNIS/CORNUS KOUSA/CORNUS OFFICINALIS/CORYDALIS INCISA/CORYDALIS TURTSCHANINOVII/CUCURBITA MOSCHATE/DENDROBIUM NOBILE/DIANTHUS CHINENSIS/ELSHOLTZIA SPLENDENS/EUPATORIUM LINDLEYANUM/FORSYTHIA KOREANA/FRITILLARIA USSURIENSIS/GARDENIA JASMINOIDES/GINKGO BILOBA/HELIANTHUS ANNUUS/HELIANTHUS TUBEROSUS/HEMEROCALLIS FULVA/HIBISCUS MUTABILIS/HIBISCUS SYRIACUS/HOSTA PLANTAGINAE/HYDRANGEA MACROPHYLLA/IMPATIENS BALSAMINA/IPOMOEA HEDERACEA/IRIS PALLASII/IRIS PSEUDACORUS/KERRIA JAPONICA/LAGERSTROEMIA INDICA/LEONURUS SIBIRICUS/LESPEDEZA BICOLOR/LILIUM LANCIFOLIUM/LINDERA OBTUSILOBA/LIRIOPES MUSCARI/LONICERA JAPONICA/LYCORIS RADIATA/MAGNOLIA KOBUS/MAGNOLIA LILIFLORA/MALUS SIEBOLDII/NARCISSUS TAZETTA/NELUMBO NUCIFERA/OENOTHERA BIENNIS/PAEONIA LACTIFLORA/PAEONIA SUFFRUTICOSA/PAPAVER RHOEAS/PATRINIA SCABIOSIFOLIA/PAULOWNIA COREANA/PERSICARIA THUNBERGII/PETASITES JAPONICUS/PLATYCODON GRANDIFLORUS/POLYGONUM ODORATUM/PONICIRUS TRIFOLIATA/PRUNUS ARMENIACA/PRUNUS MUME/PRUNUS PERSICA/PRUNUS SERRULATA/PRUNUS TOMENTOSA/PUERARIA LOBATA/PUNICA GRANATUM/RHODODENDRON MUCRONULATUM/ROBINIA PSEUDACACIA/ROSA MULTIFLORA/ROSA RUGOSA/SASA BOREALIS/SOPHORA JAPONICA/SPIRAEA PRUNIFOLIA/STYRAX JAPONICA/SYRINGA VULGARIS/TARAXACUM PLATYCARPUM/TULIPA EDULIS/VIOLA MANDSCHURICA/WEIGELA SUBSESSILIS/WISTERIA SINENSIS/ZANTHOXYLUM SCHINIFOLIUM/ZEA MAYS/ZINGIBER MIOGA/ZINNIA ELEGANS) FLOWER EXTRACT,10,Safe ingredient (No EU restrictions),,"SKIN CONDITIONING - HUMECTANT, SKIN PROTECTING"
24,(AGARICUS BLAZEI FERMENT + GANODERMA LUCIDUM FERMENT + GANODERMA MULTIPILEUM FERMENT) EXTRACT,10,Safe ingredient (No EU restrictions),,"ANTI-SEBUM, ANTIOXIDANT, SKIN PROTECTING"
25,(ALPINIA ZERUMBET/ARTEMISIA PRINCEPS/AVERRHOA CARAMBOLA/CAMELLIA SINENSIS/ERIOBOTRYA JAPONICA/GINKGO BILOBA/MELISSA OFFICINALIS/MENTHA PIPERITA/OLEA EUROPAEA/ORIGANUM MAJORANA/PERILLA FRUTESCENS/PRUNUS PERSICA/SALVIA OFFICINALIS) LEAF EXTRACT,10,Safe ingredient (No EU restrictions),,SKIN CONDITIONING - MISCELLANEOUS
26,(ANGELICA ACUTILOBA/PAEONIA LACTIFLORA/REHMANNIA GLUTINOSA) ROOT/(CNIDIUM OFFICINALE/ZINGIBER OFFICINALE) RHIZOME EXTRACT,10,Safe ingredient (No EU restrictions),,SKIN CONDITIONING - MISCELLANEOUS
27,(ANGELICA ACUTILOBA/PAEONIA LACTIFLORA/REHMANNIA GLUTINOSA) ROOT/CNIDIUM OFFICINALE RHIZOME EXTRACT,10,Safe ingredient (No EU restrictions),,"SKIN CONDITIONING, SKIN CONDITIONING - EMOLLIENT"
28,(ANGELICA ACUTILOBA/PAEONIA LACTIFLORA/REHMANNIA GLUTINOSA/SCUTELLARIA BAICALENSIS) ROOT/(CNIDIUM OFFICINALE/COPTIS CHINENSIS) RHIZOME/GARDENIA JASMINOIDES FRUIT/PHELLODENDRON  CHINENSE BARK EXTRACT,10,Safe ingredient (No EU restrictions),,
29,(ANGELICA GIGAS/CNIDIUM OFFICINALE/PAEONIA LACTIFLORA) ROOT EXTRACT,10,Safe ingredient (No EU restrictions),,"SKIN CONDITIONING - EMOLLIENT, SKIN CONDITIONING - HUMECTANT, SKIN CONDITIONING - MISCELLANEOUS"
30,(ANGELICA GIGAS/GLYCYRRHIZA URALENSIS/REHMANNIA GLUTINOSA ROOT)/ANGELICA GIGAS STEM/CARTHAMUS TINCTORIUS FLOWER/(CARTHAMUS TINCTORIUS/PRUNUS PERSICA SEED)PORIA COCOS WATER,10,Safe ingredient (No EU restrictions),,"HUMECTANT, SKIN CONDITIONING, SKIN PROTECTING"
31,(ANGELICA KEISKEI/CHRYSANTHEMUM ZAWADSKII) LEAF/STEM/CINNAMOMUM CASSIA BARK/TRICHOSANTES KIRILOWII FRUIT/ULMUS DAVIDIANA BARK/ROOT/(PAEONIA JAPONICA/BUPLEURUM FALCATUM/POLYGALA TENUIFOLIA ROOT)/VISCUS ALBUM STEM EXTRACT,10,Safe ingredient (No EU restrictions),,"ANTI-SEBORRHEIC, ANTI-SEBUM, ANTIOXIDANT, SKIN PROTECTING"
32,(APPLE/BANANA/GRAPE/LEMON/PAPAYA/PINEAPPLE) FRUIT/CARROT ROOT/SUCROSE FERMENT FILTRATE,10,Safe ingredient (No EU restrictions),,ANTIOXIDANT
33,(APPLE/CITRUS JUNOS/LENTIL/PEAR/PUMPKIN/STRAWBERRY/TOMATO FRUIT)/CORN KERNEL/(ARCTIUM LAPPA/BRASSICA OLERACEA ACEPHALA/CABBAGE/CAMELLIA SINENSIS/MORINGA OLEIFERA/RADISH/SPINACH LEAF)/(SORGHUM BICOLOR LEAF/STEM)/OAT MEAL/POTATO PULP/(CARROT/NELUMBO NUCIFERA/RADISH/WILD YAM ROOT)/(AMARANTHUS HYPOCHONDRIACUS/CASHEW/CICER ARIETINUM/COIX LACRYMA-JOBI MA-YUEN /MACADAMIA TERNIFOLIA/PHASEOLUS ANGULARIS/PISTACIA VERA/RHYNCHOSIA NULUBILIS/RICE/SESAME/SETARIA ITALICA/SOYBEAN/SWEET ALMOND/WHEAT SEED)/HORDEUM VULGARE SPROUT/CYPERUS ESCULENTUS TUBER/ARTEMISIA PRINCEPS/BROCCOLI/CHENOPODIUM QUINOA/ENTEROMORPHA COMPRESSA/HORDEUM VULGARE/IPOMOEA BATATAS/LAMINARIA JAPONICA/LENTINUS EDODES/PLEUROTUS OSTREATUS/PORPHYRA TENERA/UNDARIA PINNATIFIDA EXTRACT,10,Safe ingredient (No EU restrictions),,ANTIOXIDANT
34,(ARCTIUM LAPPA/CARROT/COLOCASIA ESCULENTA/DIOSCOREA BATATAS/GARLIC/GINGER/IPOMOEA BATATAS/NELUMBO NUCIFERA/ONION/POTATO BULBS)/(CHESTNUT/CITRUS UNSHIU/EGGPLANT/FIG/GRAPE/KIWI/LYCOPERSICON ESCULENTUM/MALUS PUMILA/MUME/PEACH/PLUM/PUMPKIN/PYRUS SEROTINA/RADISH/ZIZIPHUS JUJUBA FRUIT)/(ALLIUM TUBEROSUM/ALOE BARBADENSIS/ANGELICA UTILIS/BRASSICA OLERACEA ACEPHALA/CABBAGE/CELERY/SACCHARINA JAPONICA/UNDARIA PINNATIFIDA LEAF)/(ALLIUM FISTULOSUM/ENTEROMORPHA COMPRESSA/OENANTHE JAVANICA STALK)/LENTINULA EDODES/SUCROSE FERMENT FILTRATE,10,Safe ingredient (No EU restrictions),,"HUMECTANT, SKIN CONDITIONING - HUMECTANT, SKIN PROTECTING"
35,(ARCTIUM LAPPA/RAPHANUS SATIVUS (RADISH)/MALVA VERTICILLATA) SEED OIL,10,Safe ingredient (No EU restrictions),,SKIN CONDITIONING - EMOLLIENT
36,(ARNICA MONTANA/ARTEMISIA CAPILLARIS/CALENDULA OFFICINALIS/COLTSFOOT/CYANUS SEGETUM/HONEYSUCKLE/HOPS/LAVENDER/MALLOW/MATRICARIA CHAMOMILLA/ROSA CENTIFOLIA/SAMBUCUS NIGRA) FLOWER EXTRACT,10,Safe ingredient (No EU restrictions),,SKIN CONDITIONING - HUMECTANT
37,(ARNICA MONTANA/ARTEMISIA CAPILLARIS/CALENDULA OFFICINALIS/CYANUS SEGETUM /MATRICARIA CHAMOMILLA/HUMULUS LUPULUS/LAVANDULA ANGUSTIFOLIA/LONICERA JAPONICA/MALVA SYLVESTRIS/ROSA CENTIFOLIA/SAMBUCUS NIGRA/TILIA CORDATA/TUSSILAGO FARFARA) FLOWER EXTRACT,10,Safe ingredient (No EU restrictions),,SKIN CONDITIONING - HUMECTANT
38,(ARNICA MONTANA/CALENDULA OFFICINALIS/MATRICARIA CHAMOMILLA) FLOWER EXTRACT,10,Safe ingredient (No EU restrictions),,SKIN CONDITIONING - HUMECTANT
39,(ARTEMISIA CAPILLARIS/CINNAMOMUM CASSIA BARK/SCUTELLARIA BAICALENSIS ROOT/COPTIS JAPONICA RHIZOME) EXTRACT,10,Safe ingredient (No EU restrictions),,"ANTIOXIDANT, SKIN CONDITIONING - MISCELLANEOUS"
40,(ARTEMISIA PRINCEPS/DENDROPANAX MORBIFERA/ECLIPTA PROSTRATA/ERIOBOTRYA JAPONICA/OROSTACHYS JAPONICA/PORTULACA OLERACEA/SASA BOREALIS/ZIZANIA LATIFOLIA) LEAF/STEM EXTRACT,10,Safe ingredient (No EU restrictions),,"ANTIOXIDANT, SKIN PROTECTING"
41,(ARTEMISIA SIEVERSIANA/DIMOCARPUS LONGANA) FLOWER/LEAF/STEM EXTRACT,10,Safe ingredient (No EU restrictions),,SKIN CONDITIONING - MISCELLANEOUS
42,(ASPERGILLUS/SACCHAROMYCES)/RICE FERMENT/BARLEY GRAIN MEAL/NELUMBO NUCIFERA FLOWER EXTRACT FERMENT EXTRACT FILTRATE,10,Safe ingredient (No EU restrictions),,BLEACHING
43,(ASTRAGALUS MEMBRANACEUS/GLYCYRRHIZA URALENSIS (LICORICE)/PANAX GINSENG) ROOT/AMOMUM XANTHIOIDES SEED/HORDEUM VULGARE SPROUT/ARALIA CORDATA/ACHYRANTHES JAPONICA EXTRACT,10,Safe ingredient (No EU restrictions),,SKIN CONDITIONING - MISCELLANEOUS
44,(BETULA PLATYPHYLLA/CINNAMOMUM CASSIA) BARK/(ACHYRANTHES JAPONICA/SCUTELLARIA BAICALENSIS/VALERIANA AMURENSIS) ROOT/BIANCAEA SAPPAN TRUNK EXTRACT,10,Safe ingredient (No EU restrictions),,SKIN CONDITIONING - MISCELLANEOUS
45,(BIDENS TRIPARTITA FLOWER/LEAF/STEM)/PERILLA FRUTESCENS LEAF/PRUNELLA VULGARIS EXTRACT,10,Safe ingredient (No EU restrictions),,SKIN CONDITIONING
46,(BIFIDOBACTERIUM LYSATE & POLOXAMER 407) EXTRACT,10,Safe ingredient (No EU restrictions),,SKIN CONDITIONING - HUMECTANT
47,(BIFIDOBACTERIUM/POLYSORBATE 80 FERMENT + LACTOBACILLUS/POLYSORBATE 80 FERMENT) LYSATE FILTRATE,10,Safe ingredient (No EU restrictions),,SKIN CONDITIONING
48,(BROCCOLI/CABBAGE/ERUCA SATIVA/RADISH) SPROUT/MORINGA OLEIFERA LEAF EXTRACT,10,Safe ingredient (No EU restrictions),,ANTIOXIDANT
49,(BROCCOLI/ERUCA SATIVA/LEPIDIUM SATIVUM/NASTURTIUM OFFICINALE/RADISH) SPROUT EXTRACT,10,Safe ingredient (No EU restrictions),,"SKIN CONDITIONING, SKIN PROTECTING"
50,(CALENDULA OFFICINALIS/SAFFLOWER FLOWER)/(ACHILLEA MILLEFOLIUM FLOWER/LEAF/STEM)/(VACCINIUM MYRTILLUS/VITEX AGNUS-CASTUS FRUIT)/RHUS CHINENSIS GALL/WALNUT HUSK/(CAMELLIA SINENSIS/NETTLE LEAF)/(JUNIPERUS COMMUNIS LEAF/STEM)/HORSE CHESTNUT NUT/DICHROA FEBRIFUGA ROOT/GRAPE SEED/ACACIA CATECHU WOOD/GOLDENROD/HYPERICUM PERFORATUM EXTRACT,10,Safe ingredient (No EU restrictions),,HAIR DYEING
51,(CAMELLIA JAPONICA/PRUNUS MUME/SAFFLOWER FLOWER)/(ARONIA ARBUTIFOLIA/BLUEBERRY/CRANBERRY/EUTERPE OLERACEA FRUIT)/CAMELLIA SINENSIS LEAF/GARCINIA MANGOSTANA PEEL/COFFEE SEED/PROPOLIS/WINE EXTRACT,10,Safe ingredient (No EU restrictions),,SKIN CONDITIONING
52,(CANANGA ODORATA FLOWER/LEAF)/GANODERMA LUCIDUM FRUITING BODY/(CORCHORUS OLITORIUS/HENNA/MELIA AZADIRACHTA/MORUS ALBA/MUNTINGIA CALABURA/PSIDIUM GUAJAVA/TAMARINDUS INDICA LEAF)/(CITRUS HYSTRIX LEAF/PEEL)/(CITRONELLA/CYMBOPOGON SCHOENANTHUS/OCIMUM TENUIFLORUM LEAF/STEM)/(ALPINIA GALANGA/BOESENBERGIA ROTUNDA/GINGER/TURMERIC RHIZOME)/ZINGIBER CASSUMUNAR ROOT EXTRACT,10,Safe ingredient (No EU restrictions),,SKIN CONDITIONING
53,(CARTHAMUS TINCTORIUS/CHAMOMILLA RECUTITA/SYZYGIUM AROMATICUM) FLOWER/(LITHOSPERMUM ERYTHRORHIZON/SOPHORA FLAVESCENS/SCUTELLARIA BAICALENSIS) ROOT EXTRACT,10,Safe ingredient (No EU restrictions),,
54,(CINNAMOMUM CASSIA/MAGNOLIA OFFICINALIS) BARK/(ALPINIA OFFICINARUM/ANGELICA GIGAS) ROOT EXTRACT,10,Safe ingredient (No EU restrictions),,"ANTIOXIDANT, SKIN CONDITIONING - MISCELLANEOUS, SKIN PROTECTING"
55,(CITRUS AURANTIUM AMARA/FORSYTHIA SUSPENSA) FRUIT/SCUTELLARIA BAICALENSIS ROOT EXTRACT,10,Safe ingredient (No EU restrictions),,SKIN CONDITIONING
56,(CNIDIUM OFFICINALE/COPTIS CHINENSIS/GLYCYRRHIZA URALENSIS) ROOT EXTRACT,10,Safe ingredient (No EU restrictions),,SKIN CONDITIONING
57,(CODONOPSIS TANGSHEN/DIOSCOREA JAPONICA) ROOT/ATRACTYLODES JAPONICA RHIZOME/PORIA COCOS/(DOLICHOS LABLAB/COIX LACRYMA-JOBI MA-YUEN/EURYALE FEROX/NELUMBO NUCIFERA) SEED EXTRACT,10,Safe ingredient (No EU restrictions),,"HUMECTANT, SKIN CONDITIONING, SKIN PROTECTING"
58,(CORNUS OFFICINALIS/LYCIUM CHINENSE/MORUS BOMBYCIS/RICE/SCHISANDRA CHINENSIS/ZIZYPHUS JUJUBA) FRUIT/(CAMELLIA SINENSIS/DIOSPYROS KAKI/GINKGO BILOBA/PERILLA FRUTESCENS) LEAF/CITRUS UNSHIU PEEL/(CODONOPSIS LANCEOLATA/CYNANCHUM WILFORDII/PANAX GINSENG/PLATYCODON GRANDIFLORUM/PLEUROPTERUS MULTIFLORUS/POLYGONATUM ODORATUM) ROOT/GLYCINE MAX SEED/(ELEUTHEROCOCCUS SENTICOSUS/LICORICE) STEM/(ARTEMISIA ANNUA/HOUTTUYNIA CORDATA) STEM/LEAF/CIRSIUM JAPONICUM/DANDELION/LAMINARIA DIGITATA/TARAXACUM PLATYCARPUM WATER,10,Safe ingredient (No EU restrictions),,SKIN CONDITIONING - MISCELLANEOUS
59,(CRYPTOMERIA JAPONICA/CHAMAECYPARIS OBTUSA) STEM FERMENT EXTRACT,10,Safe ingredient (No EU restrictions),,"ANTIMICROBIAL, ANTIOXIDANT, HUMECTANT"
60,(CURCUMA LONGA/GLYCYRRHIZA URALENSIS) ROOT EXTRACT,10,Safe ingredient (No EU restrictions),,ANTIOXIDANT
61,(ECLIPTA PROSTRATA/HOUTTUYNIA CORDATA) LEAF EXTRACT,10,Safe ingredient (No EU restrictions),,SKIN CONDITIONING
62,(EUTERPE OLERACEA/EUTERPE PRECATORIA) FRUIT EXTRACT,10,Safe ingredient (No EU restrictions),,SKIN CONDITIONING - HUMECTANT
63,(EUTERPE OLERACEA/EUTERPE PRECATORIA/THEOBROMA GRANDIFLORUM) FRUIT EXTRACT,10,Safe ingredient (No EU restrictions),,SKIN CONDITIONING - HUMECTANT
64,(GELIDIUM ELEGANS/LINGULATUM/REX/SESQUIPEDALE)/(GRACILARIA CHILENSIS/VERMICULOPHYLLA)/PTEROCLADIELLA TENUIS OLIGOSACCHARIDES,10,Safe ingredient (No EU restrictions),,"HUMECTANT, SKIN CONDITIONING"
65,(GLYCYRRHIZA URALENSIS (LICORICE)/HEDYCHIUM SPICATUM/SCUTELLARIA BAICALENSIS) ROOT EXTRACT,10,Safe ingredient (No EU restrictions),,SKIN CONDITIONING - HUMECTANT
66,(GRIFOLA FRONDOSA/ INONOTUS OBLIQUUS/ SCHIZOPHYLLUM COMMUNE/ TRICHOLOMA MATSUTAKE) MYCELIUM /LETHARIELLA CLADONIOIDES FERMENT EXTRACT FILTRATE,10,Safe ingredient (No EU restrictions),,SKIN CONDITIONING - HUMECTANT
67,(GRIFOLA FRONDOSA/INONOTUS OBLIQUUS/SCHIZOPHYLLUM COMMUNE/TRICHOLOMA MATSUTAKE) MYCELIUM/LETHARIELLA CLADONIOIDES FERMENT EXTRACT FILTRATE,10,Safe ingredient (No EU restrictions),,"HUMECTANT, SKIN CONDITIONING"
68,(HONEY + ZYMOMONAS FERMENT) EXTRACT,10,Safe ingredient (No EU restrictions),,SKIN CONDITIONING
69,(HYLOCEREUS UNDATUS/ACTINIDIA CHINENSIS) PEEL EXTRACT,10,Safe ingredient (No EU restrictions),,ANTIOXIDANT
70,(LACTOBACILLUS/MILLET SEED FLOUR FERMENT & PANICUM MILIACEUM SEED EXTRACT) FILTRATE,10,Safe ingredient (No EU restrictions),,SKIN CONDITIONING
71,(LACTOBACILLUS/POLYSORBATE 80 FERMENT + LEUCONOSTOC/POLYSORBATE 80 FERMENT) LYSATE FILTRATE,10,Safe ingredient (No EU restrictions),,SKIN CONDITIONING
72,(LAVANDULA ANGUSTIFOLIA/MELISSA OFFICINALIS/HYPERICUM PERFORATUM) FLOWER/(CAMELLIA SINENSIS LEAF/(GLYCYRRHIZA GLABRA/ACANTHOPANAX SENTICOSUS) ROOT/SARRACENIA COBRA NEST LEAF/FLOWER/STALK EXTRACT,10,Safe ingredient (No EU restrictions),,"ANTI-SEBUM, ANTIMICROBIAL, SKIN CONDITIONING, SKIN PROTECTING"
73,(LEPIDIUM MEYENII/SARCODON ASPRATUS) ROOT WATER,10,Safe ingredient (No EU restrictions),,"ANTI-SEBUM, ANTIOXIDANT, SKIN CONDITIONING, SKIN PROTECTING"
74,(LESPEDEZA BICOLOR/PHELLODENDRON AMURENSE BARK)/MENTHA ARVENSIS LEAF/(ANEMARRHENA ASPHODELOIDES/SCUTELLARIA BAICALENSIS ROOT) EXTRACT,10,Safe ingredient (No EU restrictions),,SKIN CONDITIONING
75,(LICORICE/REYNOUTRIA JAPONICA) ROOT/STEM EXTRACT,10,Safe ingredient (No EU restrictions),,ANTIOXIDANT
76,(LINDERA STRYCHNIFOLIA/PAEONIA ALBIFLORA) ROOT/COMMIPHORA MYRRHA RESIN/SWERTIA JAPONICA/UNCARIA GAMBIR EXTRACT,10,Safe ingredient (No EU restrictions),,"SKIN CONDITIONING, SKIN CONDITIONING - EMOLLIENT"
77,(LIQUIDAMBAR FORMOSANA/TRIBULUS TERRESTRIS) FRUIT/PAEONIA LACTIFLORA ROOT EXTRACT,10,Safe ingredient (No EU restrictions),,SKIN CONDITIONING
78,(MAGNOLIA OFFICINALIS/PHELLODENDRON AMURENSE) BARK/CAMELLIA JAPONICA LEAF/ZINGIBER OFFICINALE ROOT/CITRUS PARADISI SEED WATER,10,Safe ingredient (No EU restrictions),,"ANTI-SEBUM, ANTIOXIDANT, SKIN CONDITIONING - MISCELLANEOUS"
79,(MORUS ALBA FRUIT/SUCROSE FERMENT FILTRATE) POLYGONUM MULTIFLORUM ROOT EXTRACT FERMENT FILTRATE,10,Safe ingredient (No EU restrictions),,"HUMECTANT, SKIN CONDITIONING - HUMECTANT, SKIN PROTECTING"
80,(OLIVE FLOWER/LEAF)/(DITTRICHIA VISCOSA/MALLOW/PARIETARIA OFFICINALIS/SAGE FLOWER/LEAF/STEM)/(ECBALLIUM ELATERIUM FRUIT/LEAF)/(AGAVE AMERICANA/CYNARA CARDUNCULUS/MASTIC LEAF)/(ACANTHUS MOLLIS/RHAGADOLIUS STELLATUS/VERBASCUM SINUATUM/VERBENA OFFICINALIS LEAF/FLOWER)/(MORINGA OLEIFERA LEAF/SHOOT)/(ARTEMISIA ARBORESCENS/THYMUS CAPITATUS LEAF/STEM)/(LYCIUM BARBARUM SHOOT/FRUIT/LEAF/STEM) EXTRACT,10,Safe ingredient (No EU restrictions),,"ANTIOXIDANT, HAIR CONDITIONING, ORAL CARE, SKIN CONDITIONING - EMOLLIENT, SKIN PROTECTING"
81,(PAEONIA LACTIFLORA BARK/SAP)/PHELLODENDRON AMURENSE BARK/MENTHA ARVENSIS LEAF/SCUTELLARIA BAICALENSIS ROOT EXTRACT,10,Safe ingredient (No EU restrictions),,"HUMECTANT, SKIN CONDITIONING, SKIN CONDITIONING - EMOLLIENT"
82,(PAEONIA LACTIFLORA BARK/SAP)/PHELLODENDRON AMURENSE BARK/SCUTELLARIA BAICALENSIS ROOT/MENTHA ARVENSIS EXTRACT,10,Safe ingredient (No EU restrictions),,"SKIN CONDITIONING - EMOLLIENT, SKIN CONDITIONING - HUMECTANT, SKIN CONDITIONING - MISCELLANEOUS"
83,(PANAX GINSENG MERISTEM CELL + TAXUS CUSPIDATA MERISTEM CELL CULTURE CONDITIONED MEDIA + PANAX GINSENG LEAF/ROOT/STEM POWDER) EXTRACT,10,Safe ingredient (No EU restrictions),,ANTIOXIDANT
84,(POLYGONUM MULTIFLORUM/GASTRODIA ELATA) STEM/ANGELICA KEISKEI LEAF/STEM/PTEROCARPUS SANTALINUS BARK/ZIZYPHUS JUJUBA SEED/THUJA ORIENTALIS FRUIT/ULMUS DAVIDIANA BARK/ROOT/(LIRIOPE PLATYPHYLLA/ADENOPHORA TRIPHYLLA) ROOT WATER,10,Safe ingredient (No EU restrictions),,"ANTI-SEBUM, ANTIOXIDANT, SKIN CONDITIONING - HUMECTANT"
85,(SH-PENTAPEPTIDE-10 6-AMINOCAPROOYL SH-PENTAPEPTIDE-11) SP,10,Safe ingredient (No EU restrictions),,"HUMECTANT, SKIN CONDITIONING"
86,(VETIVERIA ZIZANOIDES ROOT/PUERARIA THUNBERGIANA FLOWER/LEAF/STEM) WATER,10,Safe ingredient (No EU restrictions),,SKIN CONDITIONING - MISCELLANEOUS
87,"1,1-DIMETHYL-2-PHENYLETHYL ISOBUTYRATE",10,Safe ingredient (No EU restrictions),,PERFUMING
88,"1,1-DIMETHYL-3-PHENYLPROPYL ISOBUTYRATE",10,Safe ingredient (No EU restrictions),,PERFUMING
89,"1,10-DECANEDIOL",10,Safe ingredient (No EU restrictions),,SOLVENT
90,"1,2,3,4,4A,5,6,7-OCTAHYDRO-2,5,5-TRIMETHYL-2-NAPHTHOL",10,Safe ingredient (No EU restrictions),,PERFUMING
91,"1,2,3,4,4A,7,8,8A-OCTAHYDRO-2,4A,5,8A-TETRAMETHYL-NAPHTHYL FORMATE",10,Safe ingredient (No EU restrictions),,PERFUMING
92,"1,2,4-BENZENETRIACETATE",-10,PROHIBITED in EU (Annex II),II/1254,HAIR DYEING
