name,score,description
"N,N,N-Trimethyl-4-(2-oxoborn-3-ylidenemethyl) anilinium methyl sulphate",5,Filtru UV ADMIS in UE (Anexa VI). Protejeaza pielea de radiatiile solare.
"Benzoic acid, 2-hydroxy-, 3,3,5-trimethylcyclohexyl ester / Homosalate",5,Filtru UV ADMIS in UE (Anexa VI). Protejeaza pielea de radiatiile solare.
2-Hydroxy-4-methoxybenzophenone / Oxybenzone,5,Filtru UV ADMIS in UE (Anexa VI). Protejeaza pielea de radiatiile solare.
Moved or deleted,5,Filtru UV ADMIS in UE (Anexa VI). Protejeaza pielea de radiatiile solare.
"2-Phenylbenzimidazole-5-sulphonic acid and its potassium, sodium and triethanolamine salts / Ensulizole",5,Filtru UV ADMIS in UE (Anexa VI). Protejeaza pielea de radiatiile solare.
"3,3'-(1,4-Phenylenedimethylene) bis (7,7-dimethyl-2-oxobicyclo-[2.2.1] hept-1-ylmethanesulfonic acid) and its salts / Ecamsule",5,Filtru UV ADMIS in UE (Anexa VI). Protejeaza pielea de radiatiile solare.
"1-(4-tert-Butylphenyl)-3-(4-methoxyphenyl) propane-1,3-dione / Avobenzone",5,Filtru UV ADMIS in UE (Anexa VI). Protejeaza pielea de radiatiile solare.
alpha-(2-Oxoborn-3-ylidene)toluene-4-sulphonic acid and its salts,5,Filtru UV ADMIS in UE (Anexa VI). Protejeaza pielea de radiatiile solare.
"2-Cyano-3,3-diphenyl acrylic acid 2-ethylhexyl ester / Octocrilene",5,Filtru UV ADMIS in UE (Anexa VI). Protejeaza pielea de radiatiile solare.
Polymer of N-{(2 and 4)-[(2-oxoborn-3-ylidene)methyl]benzyl}acrylamide,5,Filtru UV ADMIS in UE (Anexa VI). Protejeaza pielea de radiatiile solare.
2-Ethylhexyl 4-methoxycinnamate / Octinoxate,5,Filtru UV ADMIS in UE (Anexa VI). Protejeaza pielea de radiatiile solare.
Ethoxylated Ethyl-4-Aminobenzoate,5,Filtru UV ADMIS in UE (Anexa VI). Protejeaza pielea de radiatiile solare.
Isopentyl-4-methoxycinnamate / Amiloxate,5,Filtru UV ADMIS in UE (Anexa VI). Protejeaza pielea de radiatiile solare.
"2,4,6-Trianilino-(p-carbo-2'-ethylhexyl-1'-oxy)-1,3,5-triazine",5,Filtru UV ADMIS in UE (Anexa VI). Protejeaza pielea de radiatiile solare.
"Phenol, 2-(2H-Benzotriazol-2-yl)-4-Methyl-6-(2-Methyl-3-(1,3,3,3-Tetramethyl-1-(Trimethylsilyl)Oxy)-Disiloxanyl)Propyl",5,Filtru UV ADMIS in UE (Anexa VI). Protejeaza pielea de radiatiile solare.
"Benzoic acid, 4,4-{[6-[[[(1,1-dimethylethyl)amino]carbonyl]phenyl]amino]-1,3-5-triazine-2,4-diyl]diimino}bis-, bis(2-ethylhexyl)ester / Iscotrizinol",5,Filtru UV ADMIS in UE (Anexa VI). Protejeaza pielea de radiatiile solare.
2-Ethylhexyl salicylate / Octisalate),5,Filtru UV ADMIS in UE (Anexa VI). Protejeaza pielea de radiatiile solare.
2-Ethylhexyl 4-(dimethylamino)benzoate / Padimate O (USAN:BAN),5,Filtru UV ADMIS in UE (Anexa VI). Protejeaza pielea de radiatiile solare.
2-Hydroxy-4-methoxybenzophenone-5-sulfonic acid (Benzophenone-5) and its sodium salt / Sulisobenzone,5,Filtru UV ADMIS in UE (Anexa VI). Protejeaza pielea de radiatiile solare.
Methylene Bis-Benzotriazolyl Tetramethylbutylphenol (nano),5,Filtru UV ADMIS in UE (Anexa VI). Protejeaza pielea de radiatiile solare.
"2,2'-Methylene bis(6-(2H-benzotriazol-2-yl)-4-(1,1,3,3-tetramethylbutyl)phenol) / Bisoctrizole",5,Filtru UV ADMIS in UE (Anexa VI). Protejeaza pielea de radiatiile solare.
"Sodium salt of 2,2'-bis(1,4-phenylene)-1H-benzimidazole-4,6-disulfonic acid / Bisdisulizole disodium (USAN)",5,Filtru UV ADMIS in UE (Anexa VI). Protejeaza pielea de radiatiile solare.
"2,2'-(6-(4-Methoxyphenyl)-1,3,5-triazine-2,4-diyl)bis(5-((2-ethylhexyl)oxy)phenol) / Bemotrizinol",5,Filtru UV ADMIS in UE (Anexa VI). Protejeaza pielea de radiatiile solare.
Dimethicodiethylbenzalmalonate,5,Filtru UV ADMIS in UE (Anexa VI). Protejeaza pielea de radiatiile solare.
Titanium dioxide (nano),5,Filtru UV ADMIS in UE (Anexa VI). Protejeaza pielea de radiatiile solare.
Titanium Dioxide,5,Filtru UV ADMIS in UE (Anexa VI). Protejeaza pielea de radiatiile solare.
"Benzoic acid, 2-[4-(diethylamino)-2-hydroxybenzoyl]-, hexylester",5,Filtru UV ADMIS in UE (Anexa VI). Protejeaza pielea de radiatiile solare.
"1,3,5-Triazine, 2,4,6-tris(1,1'-biphenyl)-4-yl-, including as nanomaterial",5,Filtru UV ADMIS in UE (Anexa VI). Protejeaza pielea de radiatiile solare.
Zinc oxide (nano),5,Filtru UV ADMIS in UE (Anexa VI). Protejeaza pielea de radiatiile solare.
Zinc oxide,5,Filtru UV ADMIS in UE (Anexa VI). Protejeaza pielea de radiatiile solare.
"3,3′-(1,4-Phenylene)bis(5,6-diphenyl-1,2,4-triazine)",5,Filtru UV ADMIS in UE (Anexa VI). Protejeaza pielea de radiatiile solare.
2-ethoxyethyl (2Z)-2-cyano-2-[3-(3-methoxypropylamino) cyclohex-2-en-1-ylidene]acetate,5,Filtru UV ADMIS in UE (Anexa VI). Protejeaza pielea de radiatiile solare.
"1,1'-(1,4-piperazinediyl)bis[1-[2-[4-(diethylamino)-2-hydroxybenzoyl]phenyl]-methanone",5,Filtru UV ADMIS in UE (Anexa VI). Protejeaza pielea de radiatiile solare.
"1,1'-(1,4-piperazinediyl)bis[1-[2-[4-(diethylamino)-2-hydroxybenzoyl]phenyl]-methanone",5,Filtru UV ADMIS in UE (Anexa VI). Protejeaza pielea de radiatiile solare.
